r_backend,r_kind,python_backend,decision
brms,Suggests,,pending
ggplot2,Suggests,,pending
jsonlite,Suggests,,pending
knitr,Suggests,,pending
lme4,Suggests,,pending
LNIRT,Suggests,,pending
mirt,Suggests,,pending
rmarkdown,Suggests,,pending
TAM,Suggests,,pending
arrow,Suggests,,pending
diffIRT,Suggests,,pending
GDINA,Suggests,,pending
OpenMx,Suggests,,pending
TraMineR,Suggests,,pending
testthat,Suggests,,pending
callr,Suggests,,pending
cmdstanr,Suggests,,pending
eyetrackingR,Suggests,,pending
future,Suggests,,pending
future.apply,Suggests,,pending
openssl,Suggests,,pending
PupillometryR,Suggests,,pending
rtdists,Suggests,,pending
seqHMM,Suggests,,pending
LSMjml,Suggests,,pending
MASS,Suggests,,pending
mgcv,Suggests,,pending
nnet,Suggests,,pending
survival,Suggests,,pending
eRm,Suggests,,pending
FactoMineR,Suggests,,pending
mice,Suggests,,pending
missForest,Suggests,,pending
plm,Suggests,,pending
psychotree,Suggests,,pending
ranger,Suggests,,pending
robfilter,Suggests,,pending
tidyLPA,Suggests,,pending
loo,Suggests,,pending
posterior,Suggests,,pending
targets,Suggests,,pending
equateIRT,Suggests,,pending
catR,Suggests,,pending
mirtCAT,Suggests,,pending
