r_dependency,constraint,kind,python_strategy
R,>= 4.1.0,Depends,pending_audit
graphics,,Imports,pending_audit
grDevices,,Imports,pending_audit
methods,,Imports,pending_audit
splines,,Imports,pending_audit
stats,,Imports,pending_audit
utils,,Imports,pending_audit
brms,,Suggests,pending_audit
ggplot2,,Suggests,pending_audit
jsonlite,,Suggests,pending_audit
knitr,,Suggests,pending_audit
lme4,,Suggests,pending_audit
LNIRT,,Suggests,pending_audit
mirt,,Suggests,pending_audit
rmarkdown,,Suggests,pending_audit
TAM,,Suggests,pending_audit
arrow,,Suggests,pending_audit
diffIRT,,Suggests,pending_audit
GDINA,,Suggests,pending_audit
OpenMx,,Suggests,pending_audit
TraMineR,,Suggests,pending_audit
testthat,>= 3.0.0,Suggests,pending_audit
callr,,Suggests,pending_audit
cmdstanr,,Suggests,pending_audit
eyetrackingR,,Suggests,pending_audit
future,,Suggests,pending_audit
future.apply,,Suggests,pending_audit
openssl,,Suggests,pending_audit
PupillometryR,,Suggests,pending_audit
rtdists,,Suggests,pending_audit
seqHMM,,Suggests,pending_audit
LSMjml,,Suggests,pending_audit
MASS,,Suggests,pending_audit
mgcv,,Suggests,pending_audit
nnet,,Suggests,pending_audit
survival,,Suggests,pending_audit
eRm,,Suggests,pending_audit
FactoMineR,,Suggests,pending_audit
mice,,Suggests,pending_audit
missForest,,Suggests,pending_audit
plm,,Suggests,pending_audit
psychotree,,Suggests,pending_audit
ranger,,Suggests,pending_audit
robfilter,,Suggests,pending_audit
tidyLPA,,Suggests,pending_audit
loo,,Suggests,pending_audit
posterior,,Suggests,pending_audit
targets,,Suggests,pending_audit
equateIRT,,Suggests,pending_audit
catR,,Suggests,pending_audit
mirtCAT,,Suggests,pending_audit
